ProcessingStatus,Match OpenPermID,Match OrgName,Match Score,Match Level,Match Ordinal,Original Row Number,Input_LocalID,Input_Standard Identifier,Input_Name,Input_Country,Input_Street,Input_City,Input_PostalCode,Input_State,Input_Website
OK,https://permid.org/1-4296432601,Basf Finance Europe NV,92%,Excellent,1,59,,,basf finance europe,,,,,,
OK,https://permid.org/1-4295869198,BASF SE,43%,Possible,1,60,,,basf,,,,,,
OK,https://permid.org/1-5042933956,BAT Netherlands Finance BV,65%,Good,1,61,,,bat netherlands finance,,,,,,
OK,https://permid.org/1-4295869217,Bayer AG,92%,Excellent,1,62,,,bayer,,,,,,
OK,https://permid.org/1-4296432607,Bayer Capital NV,21%,Possible,1,63,,,bayer capital corp,,,,,,
OK,https://permid.org/1-4295859373,Befimmo SA,92%,Excellent,1,64,,,befimmo,,,,,,
OK,https://permid.org/1-4295875468,Beni Stabili SpA Societa di Investimento Immobiliare Quotata,92%,Excellent,1,65,,,beni stabili spa siiq,,,,,,
OK,https://permid.org/1-5037662836,Bertelsmann SE & Co KGaA,21%,Possible,1,66,,,bertelsmann se  co,,,,,,
OK,https://permid.org/1-5037662836,Bertelsmann SE & Co KGaA,42%,Possible,1,67,,,bertelsmann se,,,,,,
OK,https://permid.org/1-5052148475,Bevco Lux SARL,92%,Excellent,1,68,,,bevco lux,,,,,,
OK,,,,No Match,,69,,,bmw finance,,,,,,
OK,,,,No Match,,70,,,borealis,,,,,,
OK,,,,No Match,,71,,,bouygue,,,,,,
OK,https://permid.org/1-4295867226,Bouygues SA,92%,Excellent,1,72,,,bouygues,,,,,,
OK,https://permid.org/1-5000029986,BP Capital Markets America Inc,36%,Possible,1,73,,,bp capital markets,,,,,,
OK,https://permid.org/1-5000029986,BP Capital Markets America Inc,36%,Possible,1,74,,,bp capital markets,,,,,,
OK,https://permid.org/1-5035396659,Brenntag Finance BV,92%,Excellent,1,75,,,brenntag finance,,,,,,
OK,https://permid.org/1-5001421091,Brisa Concessao Rodoviaria SA,83%,Good,1,76,,,brisa concessao rodoviaria,,,,,,
OK,https://permid.org/1-4297650390,Brussels Airport Company NV,92%,Excellent,1,77,,,brussels airport company,,,,,,
OK,https://permid.org/1-5000214282,Bunge Finance Europe BV,60%,Good,1,78,,,bunge finance europe,,,,,,
OK,https://permid.org/1-4295875751,Buzzi Unicem SpA,92%,Excellent,1,79,,,buzzi unicem,,,,,,
OK,https://permid.org/1-4295858951,CA Immobilien Anlagen AG,92%,Excellent,1,80,,,ca immobilien anlagen,,,,,,
OK,https://permid.org/1-4297695613,Sogeti SAS,92%,Excellent,1,81,,,cap gemini,,,,,,
OK,https://permid.org/1-4297628655,Carmila SA,55%,Possible,1,82,,,carmila,,,,,,
OK,https://permid.org/1-4295866751,Carrefour SA,92%,Excellent,1,83,,,carrefour,,,,,,
OK,https://permid.org/1-4296547049,Caterpillar International Finance DAC,92%,Excellent,1,84,,,caterpillar intl finance,,,,,,
OK,https://permid.org/1-5057945093,Ceetrus Finance SA,33%,Possible,1,85,,,ceetrus,,,,,,
OK,https://permid.org/1-5079192042,Cellnex Finance Company SA,92%,Excellent,1,86,,,cellnex finance company,,,,,,
OK,https://permid.org/1-5043416261,Cellnex Telecom SA,92%,Excellent,1,87,,,cellnex telecom,,,,,,
OK,,,,No Match,,88,,,cepsa finance safld,,,,,,
OK,,,,No Match,,89,,,ciba spc chem fin lxbg,,,,,,
OK,https://permid.org/1-4295866323,Citycon Oyj,92%,Excellent,1,90,,,citycon,,,,,,
OK,https://permid.org/1-5044006655,Citycon Treasury BV,92%,Excellent,1,91,,,citycon treasury,,,,,,
OK,,,,No Match,,92,,,ck hutchison grp telefin,,,,,,
OK,,,,No Match,,93,,,cnh industrial finance euro,,,,,,
OK,https://permid.org/1-5000022650,Coca-Cola HBC Finance PLC,92%,Excellent,1,94,,,coca cola hbc finance,,,,,,
OK,https://permid.org/1-5056398725,Coentreprise De Transport d'electricite SA,92%,Excellent,1,95,,,coentreprise de transport delectricite,,,,,,
OK,https://permid.org/1-4295859240,Cofinimmo SA,92%,Excellent,1,96,,,cofinimmo,,,,,,
OK,https://permid.org/1-4295859240,Cofinimmo SA,92%,Excellent,1,97,,,cofinimmo,,,,,,
OK,https://permid.org/1-4295867362,Compagnie de Saint Gobain SA,92%,Excellent,1,98,,,compagnie de saint gobain,,,,,,
OK,,,,No Match,,99,,,compagnie fin ind autoroute,,,,,,
OK,https://permid.org/1-4295867411,Compagnie Generale des Etablissements Michelin SCA,18%,Possible,1,100,,,compagnie generale des etablissements michelin clermont ferrand,,,,,,
OK,https://permid.org/1-5064650117,Compass Group Finance Netherlands BV,73%,Good,1,101,,,compass group finance netherlands,,,,,,
OK,https://permid.org/1-5068304965,Compass Group International 10 BV,55%,Possible,1,102,,,compass group international,,,,,,
OK,https://permid.org/1-4296561684,Conti Gummi Finance BV,92%,Excellent,1,103,,,conti gummi finance,,,,,,
OK,https://permid.org/1-4295869236,Continental AG,59%,Possible,1,104,,,continental,,,,,,
OK,https://permid.org/1-4295966650,Corporacion de Reservas Estrategicas de Productos Petroliferos,45%,Possible,1,105,,,corporacion de reservas estrategicas de productos petrolifero,,,,,,
OK,https://permid.org/1-5046707555,Covestro AG,92%,Excellent,1,106,,,covestro,,,,,,
OK,,,,No Match,,107,,,covivio hotels saca,,,,,,
OK,https://permid.org/1-4295867087,Covivio SA,92%,Excellent,1,108,,,covivio,,,,,,
OK,https://permid.org/1-4295886858,CP Comboios de Portugal EPE,92%,Excellent,1,109,,,cp comboios de portugal epe,,,,,,
OK,https://permid.org/1-5000002458,CPI Property Group SA,72%,Good,1,110,,,cpi property group,,,,,,
OK,,,,No Match,,111,,,crh finance,,,,,,
OK,https://permid.org/1-5040186325,CRH Finland Services Oyj,61%,Good,1,112,,,crh finland services,,,,,,
OK,https://permid.org/1-4297743209,CRH Group Funding Ltd,13%,Possible,1,113,,,crh funding,,,,,,
OK,https://permid.org/1-5074210015,CRH SMW Finance DAC,92%,Excellent,1,114,,,crh smw finance,,,,,,
OK,,,,No Match,,115,,,ctp,,,,,,
OK,https://permid.org/1-5068928626,Czech Gas Networks Investments SARL,46%,Possible,1,116,,,czech gas networks investments,,,,,,
OK,https://permid.org/1-4296837653,Daa Finance PLC,92%,Excellent,1,117,,,daa finance,,,,,,
OK,https://permid.org/1-4295869694,Daimler AG,92%,Excellent,1,118,,,daimler,,,,,,
