Sentence ID,Company Name,OpenPermID_1,OrgName_1,Score_1,Level_1,Name_2,OpenPermID_2,OrgName_2,Score_2,Level_2,EqualOrgName,Primary Industry,Primary Bussiness,Primary Economic,Domiciled,Incorporated,Primary Industry description
181,deutsche bahn finance gmbh,https://permid.org/1-5057817730,Deutsche Bahn Finance GmbH,92%,Excellent,deutsche bahn finance,https://permid.org/1-5057817730,Deutsche Bahn Finance GmbH,83%,Good,True,Banking Services,Banking & Investment Services,Financials,Germany,Germany,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases."
182,deutsche bahn finance gmbh,https://permid.org/1-5057817730,Deutsche Bahn Finance GmbH,92%,Excellent,deutsche bahn finance,https://permid.org/1-5057817730,Deutsche Bahn Finance GmbH,83%,Good,True,Banking Services,Banking & Investment Services,Financials,Germany,Germany,Includes bank holding companies.
183,deutsche bahn finance gmbh,https://permid.org/1-5057817730,Deutsche Bahn Finance GmbH,92%,Excellent,deutsche bahn finance,https://permid.org/1-5057817730,Deutsche Bahn Finance GmbH,83%,Good,True,Banking Services,Banking & Investment Services,Financials,Germany,Germany,"Excludes providers of investment banking services, classified in Investment Banking."
184,deutsche borse ag,https://permid.org/1-4296690429,Deutsche Boerse Systems AG,65%,Good,deutsche borse,https://permid.org/1-5000775305,Deutsche Boerse Services sro,71%,Good,False,0,0,0,0,0,0
185,deutsche lufthansa ag,https://permid.org/1-4295868979,Deutsche Lufthansa AG,92%,Excellent,deutsche lufthansa,https://permid.org/1-4295868979,Deutsche Lufthansa AG,66%,Good,True,Passenger Transportation Services,Transportation,Industrials,Germany,Germany,"Providers of transportation services to passengers via air, ground and sea."
186,deutsche post ag,https://permid.org/1-4295869983,Deutsche Post AG,92%,Excellent,deutsche post,https://permid.org/1-4295869983,Deutsche Post AG,92%,Excellent,True,Freight & Logistics Services,Transportation,Industrials,Germany,Germany,"Providers of freight and logistics services by all means, such as air, marine and ground."
187,deutsche post finance bv,https://permid.org/1-4296092017,Deutsche Post Finance BV,92%,Excellent,deutsche post finance,https://permid.org/1-4296092017,Deutsche Post Finance BV,92%,Excellent,True,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases."
188,deutsche post finance bv,https://permid.org/1-4296092017,Deutsche Post Finance BV,92%,Excellent,deutsche post finance,https://permid.org/1-4296092017,Deutsche Post Finance BV,92%,Excellent,True,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,Includes bank holding companies.
189,deutsche post finance bv,https://permid.org/1-4296092017,Deutsche Post Finance BV,92%,Excellent,deutsche post finance,https://permid.org/1-4296092017,Deutsche Post Finance BV,92%,Excellent,True,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,"Excludes providers of investment banking services, classified in Investment Banking."
190,deutsche telekom ag,https://permid.org/1-4295870332,Deutsche Telekom AG,92%,Excellent,deutsche telekom,https://permid.org/1-4295870332,Deutsche Telekom AG,92%,Excellent,True,Telecommunications Services,Telecommunications Services,Technology,Germany,Germany,Owners and operators of fixed line and wireless telecommunication networks providing voice and data services.
191,deutsche telekom intl finbv,,,,No Match,deutsche telekom intl fin,https://permid.org/1-4296543170,Deutsche Telekom International Finance BV,70%,Good,False,Telecommunications Services,Telecommunications Services,Technology,Netherlands,Netherlands,Owners and operators of fixed line and wireless telecommunication networks providing voice and data services.
192,deutsche wohnen ag,,,,No Match,deutsche wohnen,https://permid.org/1-5062386053,Deutsche Wohnen SE,92%,Excellent,False,Real Estate Operations,Real Estate,Real Estate,Germany,Germany,"Developers and managers of real estate who build, rent and lease residential and commercial properties."
193,deutsche wohnen ag,,,,No Match,deutsche wohnen,https://permid.org/1-5062386053,Deutsche Wohnen SE,92%,Excellent,False,Real Estate Operations,Real Estate,Real Estate,Germany,Germany,"Includes real estate brokerage and agency services, real estate appraisal services and consulting services."
194,diageo capital bv,https://permid.org/1-5076372727,Diageo Capital BV,92%,Excellent,diageo capital,https://permid.org/1-4296543161,Diageo Capital PLC,92%,Excellent,False,Professional & Commercial Services,Industrial & Commercial Services,Industrials,United Kingdom,Netherlands,"Providers of environmental, employment, business support, professional information, and commercial printing services and supplies."
195,digital dutch finco bv,https://permid.org/1-5071570642,Digital Dutch Finco BV,92%,Excellent,digital dutch finco,https://permid.org/1-5071570642,Digital Dutch Finco BV,67%,Good,True,Real Estate Operations,Real Estate,Real Estate,Netherlands,Netherlands,"Developers and managers of real estate who build, rent and lease residential and commercial properties."
196,digital dutch finco bv,https://permid.org/1-5071570642,Digital Dutch Finco BV,92%,Excellent,digital dutch finco,https://permid.org/1-5071570642,Digital Dutch Finco BV,67%,Good,True,Real Estate Operations,Real Estate,Real Estate,Netherlands,Netherlands,"Includes real estate brokerage and agency services, real estate appraisal services and consulting services."
197,digital intrepid holding bv,https://permid.org/1-5073639223,Digital Intrepid Holding BV,92%,Excellent,digital intrepid holding,https://permid.org/1-5073639223,Digital Intrepid Holding BV,64%,Good,True,Investment Banking & Investment Services,Banking & Investment Services,Financials,Netherlands,Netherlands,"Providers of investment banking, brokerage and investment management services without significant commercial or retail banking operations."
198,distribuidora intl de alimsa,,,,No Match,distribuidora intl de alim,,,,No Match,False,0,0,0,0,0,0
199,dna oyj,https://permid.org/1-4298361219,DNA Oyj,92%,Excellent,dna,,,,No Match,False,Telecommunications Services,Telecommunications Services,Technology,Finland,Finland,Owners and operators of fixed line and wireless telecommunication networks providing voice and data services.
200,dsv panalpina finance bv,https://permid.org/1-5079903944,DSV Panalpina Finance BV,92%,Excellent,dsv panalpina finance,https://permid.org/1-5079903944,DSV Panalpina Finance BV,69%,Good,True,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases."
201,dsv panalpina finance bv,https://permid.org/1-5079903944,DSV Panalpina Finance BV,92%,Excellent,dsv panalpina finance,https://permid.org/1-5079903944,DSV Panalpina Finance BV,69%,Good,True,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,Includes bank holding companies.
202,dsv panalpina finance bv,https://permid.org/1-5079903944,DSV Panalpina Finance BV,92%,Excellent,dsv panalpina finance,https://permid.org/1-5079903944,DSV Panalpina Finance BV,69%,Good,True,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,"Excludes providers of investment banking services, classified in Investment Banking."
203,eandis,https://permid.org/1-4297633980,Fluvius System Operator CVBA,10%,Possible,eandi,,,,No Match,False,Multiline Utilities,Utilities,Utilities,Belgium,Belgium,"Producers and distributors of electric power, natural gas and combined heat and power."
204,eandis,https://permid.org/1-4297633980,Fluvius System Operator CVBA,10%,Possible,eandi,,,,No Match,False,Multiline Utilities,Utilities,Utilities,Belgium,Belgium,"Includes utility companies with multiple operations in the supply of electricity; natural gas; water and district heating and cooling services, and other utility operations."
205,eandis,https://permid.org/1-4297633980,Fluvius System Operator CVBA,10%,Possible,eandi,,,,No Match,False,Multiline Utilities,Utilities,Utilities,Belgium,Belgium,Includes also utility infrastructure operators.
206,eandis cvba,,,,No Match,eandis,https://permid.org/1-4297633980,Fluvius System Operator CVBA,10%,Possible,False,Multiline Utilities,Utilities,Utilities,Belgium,Belgium,"Producers and distributors of electric power, natural gas and combined heat and power."
207,eandis cvba,,,,No Match,eandis,https://permid.org/1-4297633980,Fluvius System Operator CVBA,10%,Possible,False,Multiline Utilities,Utilities,Utilities,Belgium,Belgium,"Includes utility companies with multiple operations in the supply of electricity; natural gas; water and district heating and cooling services, and other utility operations."
208,eandis cvba,,,,No Match,eandis,https://permid.org/1-4297633980,Fluvius System Operator CVBA,10%,Possible,False,Multiline Utilities,Utilities,Utilities,Belgium,Belgium,Includes also utility infrastructure operators.
209,easyjet finco bv,https://permid.org/1-5076385165,EasyJet FinCo BV,92%,Excellent,easyjet finco,https://permid.org/1-5076385165,EasyJet FinCo BV,92%,Excellent,True,Investment Holding Companies,Investment Holding Companies,Financials,Netherlands,Netherlands,Companies primarily engaged in investing in securities/stakes of other companies and for their own profits.
210,easyjet finco bv,https://permid.org/1-5076385165,EasyJet FinCo BV,92%,Excellent,easyjet finco,https://permid.org/1-5076385165,EasyJet FinCo BV,92%,Excellent,True,Investment Holding Companies,Investment Holding Companies,Financials,Netherlands,Netherlands,Investment Holding Companies might have both minority and majority stakes.
211,easyjet finco bv,https://permid.org/1-5076385165,EasyJet FinCo BV,92%,Excellent,easyjet finco,https://permid.org/1-5076385165,EasyJet FinCo BV,92%,Excellent,True,Investment Holding Companies,Investment Holding Companies,Financials,Netherlands,Netherlands,"Excludes companies investing in private equity firms, classified in Private Equity; companies investing in venture capital firms, classified in Venture Capital; companies operating through subsidiaries/majority-held entities in various economic segments, classified according to the dominant segment of activity or, in case of a significant size and lack of dominant segment, in Industrial Conglomerates; UK-type investment trusts, classified in UK Investment Trusts."
212,eaton capital unlimited co,https://permid.org/1-5051785981,Eaton Capital Unlimited Co,92%,Excellent,eaton capital unlimited co,https://permid.org/1-5051785981,Eaton Capital Unlimited Co,92%,Excellent,True,Banking Services,Banking & Investment Services,Financials,Ireland,Ireland,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases."
213,eaton capital unlimited co,https://permid.org/1-5051785981,Eaton Capital Unlimited Co,92%,Excellent,eaton capital unlimited co,https://permid.org/1-5051785981,Eaton Capital Unlimited Co,92%,Excellent,True,Banking Services,Banking & Investment Services,Financials,Ireland,Ireland,Includes bank holding companies.
214,eaton capital unlimited co,https://permid.org/1-5051785981,Eaton Capital Unlimited Co,92%,Excellent,eaton capital unlimited co,https://permid.org/1-5051785981,Eaton Capital Unlimited Co,92%,Excellent,True,Banking Services,Banking & Investment Services,Financials,Ireland,Ireland,"Excludes providers of investment banking services, classified in Investment Banking."
215,edenred sa,https://permid.org/1-5000759495,Edenred SA,92%,Excellent,edenred,https://permid.org/1-5000759495,Edenred SA,92%,Excellent,True,Professional & Commercial Services,Industrial & Commercial Services,Industrials,France,France,"Providers of environmental, employment, business support, professional information, and commercial printing services and supplies."
216,edison spa,https://permid.org/1-4295875687,Edison SpA,92%,Excellent,edison,https://permid.org/1-4295903910,Edison International,23%,Possible,False,Multiline Utilities,Utilities,Utilities,Italy,Italy,"Producers and distributors of electric power, natural gas and combined heat and power."
217,edison spa,https://permid.org/1-4295875687,Edison SpA,92%,Excellent,edison,https://permid.org/1-4295903910,Edison International,23%,Possible,False,Multiline Utilities,Utilities,Utilities,Italy,Italy,"Includes utility companies with multiple operations in the supply of electricity; natural gas; water and district heating and cooling services, and other utility operations."
218,edison spa,https://permid.org/1-4295875687,Edison SpA,92%,Excellent,edison,https://permid.org/1-4295903910,Edison International,23%,Possible,False,Multiline Utilities,Utilities,Utilities,Italy,Italy,Includes also utility infrastructure operators.
219,edp energias de portugal sa,https://permid.org/1-4295886834,EDP Energias de Portugal SA,92%,Excellent,edp energias de portugal,https://permid.org/1-4295886834,EDP Energias de Portugal SA,92%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Portugal,Portugal,Generators and distributors of electric power.
220,edp energias de portugal sa,https://permid.org/1-4295886834,EDP Energias de Portugal SA,92%,Excellent,edp energias de portugal,https://permid.org/1-4295886834,EDP Energias de Portugal SA,92%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Portugal,Portugal,"Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators."
221,edp finance bv,https://permid.org/1-4297963439,EDP Finance BV,92%,Excellent,edp finance,https://permid.org/1-4297963439,EDP Finance BV,92%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Netherlands,Netherlands,Generators and distributors of electric power.
222,edp finance bv,https://permid.org/1-4297963439,EDP Finance BV,92%,Excellent,edp finance,https://permid.org/1-4297963439,EDP Finance BV,92%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Netherlands,Netherlands,"Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators."
223,eesti energia as,https://permid.org/1-4296466265,Eesti Energia AS,92%,Excellent,eesti energia,https://permid.org/1-4296466265,Eesti Energia AS,92%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Estonia,Estonia,Generators and distributors of electric power.
224,eesti energia as,https://permid.org/1-4296466265,Eesti Energia AS,92%,Excellent,eesti energia,https://permid.org/1-4296466265,Eesti Energia AS,92%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Estonia,Estonia,"Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators."
225,el corte ingle sa,,,,No Match,el corte ingle,,,,No Match,False,0,0,0,0,0,0
226,electricite de france edf,https://permid.org/1-4296679910,EDF International SAS,27%,Possible,electricite de france edf,https://permid.org/1-4296679910,EDF International SAS,27%,Possible,True,Investment Holding Companies,Investment Holding Companies,Financials,France,France,Companies primarily engaged in investing in securities/stakes of other companies and for their own profits.
227,electricite de france edf,https://permid.org/1-4296679910,EDF International SAS,27%,Possible,electricite de france edf,https://permid.org/1-4296679910,EDF International SAS,27%,Possible,True,Investment Holding Companies,Investment Holding Companies,Financials,France,France,Investment Holding Companies might have both minority and majority stakes.
228,electricite de france edf,https://permid.org/1-4296679910,EDF International SAS,27%,Possible,electricite de france edf,https://permid.org/1-4296679910,EDF International SAS,27%,Possible,True,Investment Holding Companies,Investment Holding Companies,Financials,France,France,"Excludes companies investing in private equity firms, classified in Private Equity; companies investing in venture capital firms, classified in Venture Capital; companies operating through subsidiaries/majority-held entities in various economic segments, classified according to the dominant segment of activity or, in case of a significant size and lack of dominant segment, in Industrial Conglomerates; UK-type investment trusts, classified in UK Investment Trusts."
229,elering as,https://permid.org/1-4298221301,Elering AS,92%,Excellent,elering,https://permid.org/1-4298221301,Elering AS,92%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Estonia,Estonia,Generators and distributors of electric power.
230,elering as,https://permid.org/1-4298221301,Elering AS,92%,Excellent,elering,https://permid.org/1-4298221301,Elering AS,92%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Estonia,Estonia,"Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators."
231,elia group sa,https://permid.org/1-4295859541,Elia Group SA,92%,Excellent,elia group,https://permid.org/1-4295859541,Elia Group SA,92%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Belgium,Belgium,Generators and distributors of electric power.
232,elia group sa,https://permid.org/1-4295859541,Elia Group SA,92%,Excellent,elia group,https://permid.org/1-4295859541,Elia Group SA,92%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Belgium,Belgium,"Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators."
233,elia system operator nv,,,,No Match,elia system operator,https://permid.org/1-4297577357,Elia,92%,Excellent,False,0,0,0,0,0,0
234,elia system operator sanv,,,,No Match,elia system operator,https://permid.org/1-4297577357,Elia,92%,Excellent,False,0,0,0,0,0,0
235,elia transmission belgium,https://permid.org/1-5071549731,Elia Transmission Belgium NV,74%,Good,elia transmission belgium,https://permid.org/1-5071549731,Elia Transmission Belgium NV,74%,Good,True,Electric Utilities & IPPs,Utilities,Utilities,Belgium,Belgium,Generators and distributors of electric power.
236,elia transmission belgium,https://permid.org/1-5071549731,Elia Transmission Belgium NV,74%,Good,elia transmission belgium,https://permid.org/1-5071549731,Elia Transmission Belgium NV,74%,Good,True,Electric Utilities & IPPs,Utilities,Utilities,Belgium,Belgium,"Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators."
237,elisa oyj,https://permid.org/1-5000040066,Elisa Oyj,92%,Excellent,elisa,https://permid.org/1-5000040066,Elisa Oyj,92%,Excellent,True,Telecommunications Services,Telecommunications Services,Technology,Finland,Finland,Owners and operators of fixed line and wireless telecommunication networks providing voice and data services.
238,enagas financiaciones sau,https://permid.org/1-5037846601,Enagas Financiaciones SAU,92%,Excellent,enagas financiaciones,https://permid.org/1-5037846601,Enagas Financiaciones SAU,80%,Good,True,Banking Services,Banking & Investment Services,Financials,Spain,Spain,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases."
239,enagas financiaciones sau,https://permid.org/1-5037846601,Enagas Financiaciones SAU,92%,Excellent,enagas financiaciones,https://permid.org/1-5037846601,Enagas Financiaciones SAU,80%,Good,True,Banking Services,Banking & Investment Services,Financials,Spain,Spain,Includes bank holding companies.
240,enagas financiaciones sau,https://permid.org/1-5037846601,Enagas Financiaciones SAU,92%,Excellent,enagas financiaciones,https://permid.org/1-5037846601,Enagas Financiaciones SAU,80%,Good,True,Banking Services,Banking & Investment Services,Financials,Spain,Spain,"Excludes providers of investment banking services, classified in Investment Banking."
241,enbw international finance bv,https://permid.org/1-4296930961,EnBW International Finance BV,92%,Excellent,enbw international finance,https://permid.org/1-4296930961,EnBW International Finance BV,92%,Excellent,True,Multiline Utilities,Utilities,Utilities,Netherlands,Netherlands,"Producers and distributors of electric power, natural gas and combined heat and power."
242,enbw international finance bv,https://permid.org/1-4296930961,EnBW International Finance BV,92%,Excellent,enbw international finance,https://permid.org/1-4296930961,EnBW International Finance BV,92%,Excellent,True,Multiline Utilities,Utilities,Utilities,Netherlands,Netherlands,"Includes utility companies with multiple operations in the supply of electricity; natural gas; water and district heating and cooling services, and other utility operations."
243,enbw international finance bv,https://permid.org/1-4296930961,EnBW International Finance BV,92%,Excellent,enbw international finance,https://permid.org/1-4296930961,EnBW International Finance BV,92%,Excellent,True,Multiline Utilities,Utilities,Utilities,Netherlands,Netherlands,Includes also utility infrastructure operators.
244,enel finance intl nv,https://permid.org/1-5001426741,ENEL Finance International NV,92%,Excellent,enel finance intl,https://permid.org/1-5001426741,ENEL Finance International NV,69%,Good,True,Electric Utilities & IPPs,Utilities,Utilities,Netherlands,Netherlands,Generators and distributors of electric power.
245,enel finance intl nv,https://permid.org/1-5001426741,ENEL Finance International NV,92%,Excellent,enel finance intl,https://permid.org/1-5001426741,ENEL Finance International NV,69%,Good,True,Electric Utilities & IPPs,Utilities,Utilities,Netherlands,Netherlands,"Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators."
246,enel spa,https://permid.org/1-4295875798,Enel SpA,92%,Excellent,enel,https://permid.org/1-4295875798,Enel SpA,92%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Italy,Italy,Generators and distributors of electric power.
247,enel spa,https://permid.org/1-4295875798,Enel SpA,92%,Excellent,enel,https://permid.org/1-4295875798,Enel SpA,92%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Italy,Italy,"Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators."
248,energie ag oberosterreich,https://permid.org/1-5000435851,Energie AG Oberoesterreich Umwelt Holding GmbH,12%,Possible,energie ag oberosterreich,https://permid.org/1-5000435851,Energie AG Oberoesterreich Umwelt Holding GmbH,12%,Possible,True,0,0,0,0,0,0
249,enexis holding nv,https://permid.org/1-4298484226,Enexis Holding NV,92%,Excellent,enexis holding,https://permid.org/1-4298484226,Enexis Holding NV,92%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Netherlands,Netherlands,Generators and distributors of electric power.
250,enexis holding nv,https://permid.org/1-4298484226,Enexis Holding NV,92%,Excellent,enexis holding,https://permid.org/1-4298484226,Enexis Holding NV,92%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Netherlands,Netherlands,"Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators."
251,engie,https://permid.org/1-4295866806,Engie SA,92%,Excellent,engie,https://permid.org/1-4295866806,Engie SA,92%,Excellent,True,Multiline Utilities,Utilities,Utilities,France,France,"Producers and distributors of electric power, natural gas and combined heat and power."
252,engie,https://permid.org/1-4295866806,Engie SA,92%,Excellent,engie,https://permid.org/1-4295866806,Engie SA,92%,Excellent,True,Multiline Utilities,Utilities,Utilities,France,France,"Includes utility companies with multiple operations in the supply of electricity; natural gas; water and district heating and cooling services, and other utility operations."
253,engie,https://permid.org/1-4295866806,Engie SA,92%,Excellent,engie,https://permid.org/1-4295866806,Engie SA,92%,Excellent,True,Multiline Utilities,Utilities,Utilities,France,France,Includes also utility infrastructure operators.
254,engie alliance gie,https://permid.org/1-5000076191,Engie Alliance Gie,92%,Excellent,engie alliance gie,https://permid.org/1-5000076191,Engie Alliance Gie,92%,Excellent,True,Banking Services,Banking & Investment Services,Financials,France,France,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases."
255,engie alliance gie,https://permid.org/1-5000076191,Engie Alliance Gie,92%,Excellent,engie alliance gie,https://permid.org/1-5000076191,Engie Alliance Gie,92%,Excellent,True,Banking Services,Banking & Investment Services,Financials,France,France,Includes bank holding companies.
256,engie alliance gie,https://permid.org/1-5000076191,Engie Alliance Gie,92%,Excellent,engie alliance gie,https://permid.org/1-5000076191,Engie Alliance Gie,92%,Excellent,True,Banking Services,Banking & Investment Services,Financials,France,France,"Excludes providers of investment banking services, classified in Investment Banking."
257,engie sa,https://permid.org/1-4295866806,Engie SA,92%,Excellent,engie,https://permid.org/1-4295866806,Engie SA,92%,Excellent,True,Multiline Utilities,Utilities,Utilities,France,France,"Producers and distributors of electric power, natural gas and combined heat and power."
258,engie sa,https://permid.org/1-4295866806,Engie SA,92%,Excellent,engie,https://permid.org/1-4295866806,Engie SA,92%,Excellent,True,Multiline Utilities,Utilities,Utilities,France,France,"Includes utility companies with multiple operations in the supply of electricity; natural gas; water and district heating and cooling services, and other utility operations."
259,engie sa,https://permid.org/1-4295866806,Engie SA,92%,Excellent,engie,https://permid.org/1-4295866806,Engie SA,92%,Excellent,True,Multiline Utilities,Utilities,Utilities,France,France,Includes also utility infrastructure operators.
260,eni finance international sa,https://permid.org/1-4296715124,Eni Finance International SA,92%,Excellent,eni finance international,https://permid.org/1-4296715124,Eni Finance International SA,92%,Excellent,True,Oil & Gas,Energy - Fossil Fuels,Energy,Belgium,Belgium,"Producers, refiners and transporters of raw and refined oil and gas products."
261,eni spa,https://permid.org/1-4295875633,Eni SpA,92%,Excellent,eni,https://permid.org/1-4295875633,Eni SpA,92%,Excellent,True,Oil & Gas,Energy - Fossil Fuels,Energy,Italy,Italy,"Producers, refiners and transporters of raw and refined oil and gas products."
262,enodia scrl,https://permid.org/1-4297881749,Enodia SCRL,92%,Excellent,enodia,https://permid.org/1-5060518123,Enodia Holding Srl,33%,Possible,False,Investment Banking & Investment Services,Banking & Investment Services,Financials,Belgium,Belgium,"Providers of investment banking, brokerage and investment management services without significant commercial or retail banking operations."
263,eon intl finance bv,,,,No Match,eon intl finance,,,,No Match,False,0,0,0,0,0,0
264,eon se,,,,No Match,eon,,,,No Match,False,0,0,0,0,0,0
265,erdol lagergesellschaft mbh,https://permid.org/1-5079546902,Erdol-Lagergesellschaft mbH,92%,Excellent,erdol lagergesellschaft,https://permid.org/1-5079546902,Erdol-Lagergesellschaft mbH,73%,Good,True,0,0,0,0,0,0
266,erg spa,https://permid.org/1-4295875564,ERG SpA,92%,Excellent,erg,https://permid.org/1-4295875564,ERG SpA,92%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Italy,Italy,Generators and distributors of electric power.
267,erg spa,https://permid.org/1-4295875564,ERG SpA,92%,Excellent,erg,https://permid.org/1-4295875564,ERG SpA,92%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Italy,Italy,"Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators."
268,esb finance dac,https://permid.org/1-5000653057,ESB Finance DAC,92%,Excellent,esb finance,https://permid.org/1-5044197201,ESB Financial Enterprises Ltd,92%,Excellent,False,Electric Utilities & IPPs,Utilities,Utilities,Ireland,Ireland,Generators and distributors of electric power.
269,esb finance dac,https://permid.org/1-5000653057,ESB Finance DAC,92%,Excellent,esb finance,https://permid.org/1-5044197201,ESB Financial Enterprises Ltd,92%,Excellent,False,Electric Utilities & IPPs,Utilities,Utilities,Ireland,Ireland,"Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators."
270,esselunga spa,https://permid.org/1-4297965300,Esselunga SpA,92%,Excellent,esselunga,https://permid.org/1-4297965300,Esselunga SpA,92%,Excellent,True,Food & Drug Retailing,Food & Drug Retailing,Consumer Non-Cyclicals,Italy,Italy,"Retailers operating pharmacies, grocery, convenience, liquor and specialty food stores."
271,essilor international,https://permid.org/1-4295867261,EssilorLuxottica SA,92%,Excellent,essilor international,https://permid.org/1-4295867261,EssilorLuxottica SA,92%,Excellent,True,Textiles & Apparel,Cyclical Consumer Products,Consumer Cyclicals,France,France,"Manufacturers of fabrics, leather and other textiles, apparel, accessories and footwear."
272,essilorluxottica sa,https://permid.org/1-4295867261,EssilorLuxottica SA,92%,Excellent,essilorluxottica,https://permid.org/1-4295867261,EssilorLuxottica SA,92%,Excellent,True,Textiles & Apparel,Cyclical Consumer Products,Consumer Cyclicals,France,France,"Manufacturers of fabrics, leather and other textiles, apparel, accessories and footwear."
273,eurofins scientific se,https://permid.org/1-5037433929,Eurofins Scientific SE,92%,Excellent,eurofins scientific,https://permid.org/1-5037433929,Eurofins Scientific SE,92%,Excellent,True,Professional & Commercial Services,Industrial & Commercial Services,Industrials,Luxembourg,Luxembourg,"Providers of environmental, employment, business support, professional information, and commercial printing services and supplies."
274,eurogrid gmbh,https://permid.org/1-5001234109,Eurogrid GmbH,92%,Excellent,eurogrid,https://permid.org/1-5001234109,Eurogrid GmbH,92%,Excellent,True,Investment Banking & Investment Services,Banking & Investment Services,Financials,Germany,Germany,"Providers of investment banking, brokerage and investment management services without significant commercial or retail banking operations."
275,euronext nv,https://permid.org/1-5042958012,Euronext NV,92%,Excellent,euronext,https://permid.org/1-5042958012,Euronext NV,92%,Excellent,True,Investment Banking & Investment Services,Banking & Investment Services,Financials,Netherlands,Netherlands,"Providers of investment banking, brokerage and investment management services without significant commercial or retail banking operations."
276,eustream as,https://permid.org/1-4298244950,Eustream as,92%,Excellent,eustream,https://permid.org/1-4298244950,Eustream as,92%,Excellent,True,Oil & Gas Related Equipment and Services,Energy - Fossil Fuels,Energy,Slovakia,Slovakia,"Providers of oil and gas drilling and related services, as well as manufacturers of oil related equipment."
277,eutelsat sa,https://permid.org/1-4295866983,Eutelsat Communications SA,51%,Possible,eutelsat,https://permid.org/1-4295866983,Eutelsat Communications SA,38%,Possible,True,Telecommunications Services,Telecommunications Services,Technology,France,France,Owners and operators of fixed line and wireless telecommunication networks providing voice and data services.
278,evn ag,https://permid.org/1-4295859045,EVN AG,92%,Excellent,evn,https://permid.org/1-4295859045,EVN AG,92%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Austria,Austria,Generators and distributors of electric power.
279,evn ag,https://permid.org/1-4295859045,EVN AG,92%,Excellent,evn,https://permid.org/1-4295859045,EVN AG,92%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Austria,Austria,"Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators."
280,evonik finance bv,https://permid.org/1-5036394213,Evonik Finance BV,92%,Excellent,evonik finance,https://permid.org/1-5036394213,Evonik Finance BV,92%,Excellent,True,Chemicals,Chemicals,Basic Materials,Netherlands,Netherlands,"Producers and refiners of agricultural, commodity and specialty chemicals."
281,evonik industries ag,https://permid.org/1-5000074393,Evonik Industries AG,92%,Excellent,evonik industries,https://permid.org/1-5000074393,Evonik Industries AG,92%,Excellent,True,Chemicals,Chemicals,Basic Materials,Germany,Germany,"Producers and refiners of agricultural, commodity and specialty chemicals."
282,ewe ag,https://permid.org/1-4295869127,EWE AG,92%,Excellent,ewe,https://permid.org/1-4295869127,EWE AG,92%,Excellent,True,Multiline Utilities,Utilities,Utilities,Germany,Germany,"Producers and distributors of electric power, natural gas and combined heat and power."
