Sentence ID,Company Name,OpenPermID_1,OrgName_1,Score_1,Level_1,Name_2,OpenPermID_2,OrgName_2,Score_2,Level_2,EqualOrgName,Primary Industry,Primary Bussiness,Primary Economic,Domiciled,Incorporated,Primary Industry description
21,air liquide finance,https://permid.org/1-5059341248,Air Liquide AG Finance LP,35%,Possible,air liquide finance,https://permid.org/1-5059341248,Air Liquide AG Finance LP,35%,Possible,True,0,0,0,0,0,0
22,air liquide sa,https://permid.org/1-4295926500,Air Liquide Tunisie SA,72%,Good,air liquide,https://permid.org/1-4295867366,L'Air Liquide Societe Anonyme pour l'Etude et l'Exploitation des Procedes Georges Claude SA,92%,Excellent,False,Chemicals,Chemicals,Basic Materials,France,France,"Producers and refiners of agricultural, commodity and specialty chemicals."
23,air liquide sa etexplpgcl,,,,No Match,air liquide,https://permid.org/1-4295867366,L'Air Liquide Societe Anonyme pour l'Etude et l'Exploitation des Procedes Georges Claude SA,92%,Excellent,False,Chemicals,Chemicals,Basic Materials,France,France,"Producers and refiners of agricultural, commodity and specialty chemicals."
24,airbus group finance bv,,,,No Match,airbus group finance,,,,No Match,False,0,0,0,0,0,0
25,airbus se,https://permid.org/1-4295884955,Airbus SE,92%,Excellent,airbus,https://permid.org/1-4295884955,Airbus SE,92%,Excellent,True,Aerospace & Defense,Industrial Goods,Industrials,Netherlands,Netherlands,"Producers of commercial, military and private aircraft and spacecraft."
26,airbus se,https://permid.org/1-4295884955,Airbus SE,92%,Excellent,airbus,https://permid.org/1-4295884955,Airbus SE,92%,Excellent,True,Aerospace & Defense,Industrial Goods,Industrials,Netherlands,Netherlands,"Includes manufacturers of military equipment, vehicles, explosive ordnance, guidance systems, artillery, ammunition and other related weaponry."
27,airbus se,https://permid.org/1-4295884955,Airbus SE,92%,Excellent,airbus,https://permid.org/1-4295884955,Airbus SE,92%,Excellent,True,Aerospace & Defense,Industrial Goods,Industrials,Netherlands,Netherlands,Includes also manufacturers of satellites.
28,akelius residential property finance bv,https://permid.org/1-4297166223,Akelius Residential Property AB (publ),19%,Possible,akelius residential property finance,https://permid.org/1-4297166223,Akelius Residential Property AB (publ),24%,Possible,True,Real Estate Operations,Real Estate,Real Estate,Sweden,Sweden,"Developers and managers of real estate who build, rent and lease residential and commercial properties."
29,akelius residential property finance bv,https://permid.org/1-4297166223,Akelius Residential Property AB (publ),19%,Possible,akelius residential property finance,https://permid.org/1-4297166223,Akelius Residential Property AB (publ),24%,Possible,True,Real Estate Operations,Real Estate,Real Estate,Sweden,Sweden,"Includes real estate brokerage and agency services, real estate appraisal services and consulting services."
30,akzo nobel nv,https://permid.org/1-4295884730,Akzo Nobel NV,92%,Excellent,akzo nobel,https://permid.org/1-4295884730,Akzo Nobel NV,92%,Excellent,True,Chemicals,Chemicals,Basic Materials,Netherlands,Netherlands,"Producers and refiners of agricultural, commodity and specialty chemicals."
31,albemarle new holding gmbh,https://permid.org/1-5053503107,Albemarle New Holding GmbH,92%,Excellent,albemarle new holding,https://permid.org/1-5053503107,Albemarle New Holding GmbH,67%,Good,True,Investment Holding Companies,Investment Holding Companies,Financials,Germany,Germany,Companies primarily engaged in investing in securities/stakes of other companies and for their own profits.
32,albemarle new holding gmbh,https://permid.org/1-5053503107,Albemarle New Holding GmbH,92%,Excellent,albemarle new holding,https://permid.org/1-5053503107,Albemarle New Holding GmbH,67%,Good,True,Investment Holding Companies,Investment Holding Companies,Financials,Germany,Germany,Investment Holding Companies might have both minority and majority stakes.
33,albemarle new holding gmbh,https://permid.org/1-5053503107,Albemarle New Holding GmbH,92%,Excellent,albemarle new holding,https://permid.org/1-5053503107,Albemarle New Holding GmbH,67%,Good,True,Investment Holding Companies,Investment Holding Companies,Financials,Germany,Germany,"Excludes companies investing in private equity firms, classified in Private Equity; companies investing in venture capital firms, classified in Venture Capital; companies operating through subsidiaries/majority-held entities in various economic segments, classified according to the dominant segment of activity or, in case of a significant size and lack of dominant segment, in Industrial Conglomerates; UK-type investment trusts, classified in UK Investment Trusts."
34,alliander nv,https://permid.org/1-4295884948,Alliander NV,92%,Excellent,alliander,https://permid.org/1-4295884948,Alliander NV,92%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Netherlands,Netherlands,Generators and distributors of electric power.
35,alliander nv,https://permid.org/1-4295884948,Alliander NV,92%,Excellent,alliander,https://permid.org/1-4295884948,Alliander NV,92%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Netherlands,Netherlands,"Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators."
36,allianz finance ii bv,https://permid.org/1-4296777983,Allianz Finance II BV,92%,Excellent,allianz finance ii,https://permid.org/1-5043447638,Allianz Finance II Luxembourg SA,54%,Possible,False,Insurance,Insurance,Financials,Netherlands,Netherlands,"Underwriters and carriers of property, casualty, life and health insurance policies, as well as reinsurance carriers."
37,alstom sa,https://permid.org/1-4295867565,Alstom SA,92%,Excellent,alstom,https://permid.org/1-4295867565,Alstom SA,92%,Excellent,True,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Goods,Industrials,France,France,"Manufacturers of industrial, construction, agricultural and electrical machinery, equipment & components, and shipbuilders."
38,alstria office reit ag,https://permid.org/1-4295870318,alstria office REIT AG,92%,Excellent,alstria office reit,https://permid.org/1-4295870318,alstria office REIT AG,92%,Excellent,True,Residential & Commercial REITs,Real Estate,Real Estate,Germany,Germany,Investment trusts that secure interests related to rights on residential and commercial real estate.
39,altarea,https://permid.org/1-4295867836,Altarea SCA,92%,Excellent,altarea,https://permid.org/1-4295867836,Altarea SCA,92%,Excellent,True,Real Estate Operations,Real Estate,Real Estate,France,France,"Developers and managers of real estate who build, rent and lease residential and commercial properties."
40,altarea,https://permid.org/1-4295867836,Altarea SCA,92%,Excellent,altarea,https://permid.org/1-4295867836,Altarea SCA,92%,Excellent,True,Real Estate Operations,Real Estate,Real Estate,France,France,"Includes real estate brokerage and agency services, real estate appraisal services and consulting services."
41,altareit sca,https://permid.org/1-4295866910,Altareit SCA,92%,Excellent,altareit,https://permid.org/1-4295866910,Altareit SCA,92%,Excellent,True,Real Estate Operations,Real Estate,Real Estate,France,France,"Developers and managers of real estate who build, rent and lease residential and commercial properties."
42,altareit sca,https://permid.org/1-4295866910,Altareit SCA,92%,Excellent,altareit,https://permid.org/1-4295866910,Altareit SCA,92%,Excellent,True,Real Estate Operations,Real Estate,Real Estate,France,France,"Includes real estate brokerage and agency services, real estate appraisal services and consulting services."
