Name_1,OpenPermID_1,OrgName_1,Score_1,Level_1,Name_2,OpenPermID_2,OrgName_2,Score_2,Level_2,EqualOrgName,Primary Industry,Primary Bussiness,Primary Economic,Domiciled,Incorporated,TRBC code,Primary Industry description
acs actde constry serv sa,,,,No Match,acs actde constry serv,,,,No Match,FALSE,0,0,0,0,0,0,0
ado properties sa,https://permid.org/1-5076926658,ADO Properties S.A.,92.00%,Excellent,ado properties,https://permid.org/1-5076942662,ADO Properties GmbH,92.00%,Excellent,FALSE,0,0,0,0,0,0,0
air liquide finance,https://permid.org/1-5059341248,Air Liquide AG Finance LP,35.00%,Possible,air liquide finance,https://permid.org/1-5059341248,Air Liquide AG Finance LP,35.00%,Possible,TRUE,0,0,0,0,0,0,0
airbus group finance bv,,,,No Match,airbus group finance,,,,No Match,FALSE,0,0,0,0,0,0,0
auchan holding sa,,,,No Match,auchan holding,https://permid.org/1-5024332092,Auchan II Holding UK Ltd,13.00%,Possible,FALSE,0,0,0,0,0,0,0
autostr bresvervicpad spa,,,,No Match,autostr bresvervicpad,,,,No Match,FALSE,0,0,0,0,0,0,0
bmw finance nv,https://permid.org/1-4298251653,BMW Financial Services Belgium NV,23.00%,Possible,bmw finance,,,,No Match,FALSE,0,0,0,0,0,0,0
ceetrus sa,https://permid.org/1-5057945093,Ceetrus Finance SA,49.00%,Possible,ceetrus,https://permid.org/1-5057945093,Ceetrus Finance SA,33.00%,Possible,TRUE,0,0,0,0,0,0,0
cepsa finance saflds,,,,No Match,cepsa finance safld,,,,No Match,FALSE,0,0,0,0,0,0,0
ciba spc chem fin lxbg sa,,,,No Match,ciba spc chem fin lxbg,,,,No Match,FALSE,0,0,0,0,0,0,0
ck hutchison grp telefin sa,,,,No Match,ck hutchison grp telefin,,,,No Match,FALSE,0,0,0,0,0,0,0
cnh industrial finance eurosa,,,,No Match,cnh industrial finance euro,,,,No Match,FALSE,0,0,0,0,0,0,0
compagnie fin ind autoroutes,,,,No Match,compagnie fin ind autoroute,,,,No Match,FALSE,0,0,0,0,0,0,0
compass group international bv,https://permid.org/1-5068304965,Compass Group International 10 BV,59.00%,Possible,compass group international,https://permid.org/1-5068304965,Compass Group International 10 BV,55.00%,Possible,TRUE,0,0,0,0,0,0,0
covivio hotels saca,,,,No Match,covivio hotels saca,,,,No Match,FALSE,0,0,0,0,0,0,0
ctp bv,,,,No Match,ctp,,,,No Match,FALSE,0,0,0,0,0,0,0
daimler intl finance bv,https://permid.org/1-4296434224,Daimler Benz International Finance BV,41.00%,Possible,daimler intl finance,https://permid.org/1-4296434224,Daimler Benz International Finance BV,11.00%,Possible,TRUE,0,0,0,0,0,0,0
delhaize group,,,,No Match,delhaize group,,,,No Match,FALSE,0,0,0,0,0,0,0
delhaize group sa,,,,No Match,delhaize group,,,,No Match,FALSE,0,0,0,0,0,0,0
deutsche borse ag,https://permid.org/1-4296690429,Deutsche Boerse Systems AG,65.00%,Good,deutsche borse,https://permid.org/1-5000775305,Deutsche Boerse Services sro,71.00%,Good,FALSE,0,0,0,0,0,0,0
distribuidora intl de alimsa,,,,No Match,distribuidora intl de alim,,,,No Match,FALSE,0,0,0,0,0,0,0
el corte ingle sa,,,,No Match,el corte ingle,,,,No Match,FALSE,0,0,0,0,0,0,0
elia system operator nv,,,,No Match,elia system operator,https://permid.org/1-4297577357,Elia,92.00%,Excellent,FALSE,0,0,0,0,0,0,0
elia system operator sanv,,,,No Match,elia system operator,https://permid.org/1-4297577357,Elia,92.00%,Excellent,FALSE,0,0,0,0,0,0,0
energie ag oberosterreich,https://permid.org/1-5000435851,Energie AG Oberoesterreich Umwelt Holding GmbH,12.00%,Possible,energie ag oberosterreich,https://permid.org/1-5000435851,Energie AG Oberoesterreich Umwelt Holding GmbH,12.00%,Possible,TRUE,0,0,0,0,0,0,0
eon intl finance bv,,,,No Match,eon intl finance,,,,No Match,FALSE,0,0,0,0,0,0,0
eon se,,,,No Match,eon,,,,No Match,FALSE,0,0,0,0,0,0,0
erdol lagergesellschaft mbh,https://permid.org/1-5079546902,Erdol-Lagergesellschaft mbH,92.00%,Excellent,erdol lagergesellschaft,https://permid.org/1-5079546902,Erdol-Lagergesellschaft mbH,73.00%,Good,TRUE,0,0,0,0,0,0,0
