Name_1,OpenPermID_1,OrgName_1,Score_1,Level_1,Name_2,OpenPermID_2,OrgName_2,Score_2,Level_2,EqualOrgName,Primary Industry,Primary Bussiness,Primary Economic,Domiciled,Incorporated,TRBC code,Primary Industry description
holding dinfrastructure,https://permid.org/1-5000919963,Hldg Dinfrastructure De Transport Sas,32.00%,Possible,holding dinfrastructure,https://permid.org/1-5000919963,Hldg Dinfrastructure De Transport Sas,32.00%,Possible,TRUE,investment holding companies ,investment holding companies ,Financials,France,France,556010,"Abertis is the international market company in the management of toll roads. As one of the largest global groups in road transport infrastructure management, Abertis plays an essential role in the economic and sustainable development of the territories in which it operates. For this reason, our commitment to society is oriented towards long-term investment in high-quality infrastructures, through the promotion of sustainability. We work to be a key player in the financing and sustainable management of the infrastructures of the future. We act to reduce the carbon footprint, mitigate climate change, minimize the environmental impact of our activity and promote the circular economy. We also apply preventive measures to preserve the environment and reduce pollution, creating a more efficient, responsible and sustainable exploitation model. Our sustainable development strategy is based on four priority and relevant aspects for the Abertis Group: Good governance, transparency and accountability: the development of an organizational culture based on ethical principles, the rejection of all forms of corruption and the progressive inclusion of good governance practices. Eco-efficiency: the reduction of the carbon footprint, the development of products and services with positive environmental and social criteria and innovation based on circular economy criteria. Integration in the environment: the generation of positive synergies with the local community and the empowerment and conservation of natural capital.
Safety and quality: guaranteeing road safety and occupational health and safety, enhancing job quality, ensuring equal opportunities and developing quality products and services that generate positive environmental, social and good governance impacts."
iberdrola international bv,https://permid.org/1-5050277472,Iberdrola International Finance BV,53.00%,Possible,iberdrola international,https://permid.org/1-5050277472,Iberdrola International Finance BV,44.00%,Possible,TRUE,Electric Utilities & IPPs,Utilities,Utilities,Netherlands,Netherlands,591010,"With over 170 years of history behind us, Iberdrola is now a global energy leader, the number one producer of wind power, and one of the world's biggest electricity utilities in terms of market capitalisation. We have brought the energy transition forward two decades to combat climate change and provide a clean, reliable and smart business model."
infra park,https://permid.org/1-5050701816,DG Infra+ Park Invest BV,19.00%,Possible,infra park,https://permid.org/1-5050701816,DG Infra+ Park Invest BV,19.00%,Possible,TRUE,Transport Infrastructure,transportation,Industrials,France,France,524070,"Infra Park through its subsidiaries, offers car parking and urban mobility services worldwide. The company designs, builds, finances, and operates parking solutions. It operates approximately 2,500 km of urban streets and 4,000 car parks."
iss finance nb,,,,No Match,iss finance nb,,,,No Match,FALSE,investment holding companies ,investment holding companies ,Financials,Denmark,Netherlands,556010,"ISS empowers investors and companies to build for long-term and sustainable growth by providing high-quality data, analytics and insight. "
lseg netherlands bv,https://permid.org/1-5079710330,LSEG Netherlands BV,92.00%,Excellent,lseg netherlands,https://permid.org/1-5079710330,LSEG Netherlands BV,92.00%,Excellent,TRUE,Investment Banking & Investment Services,Banking & Investment Services,FIinancials,Netherlands,Netherlands,551020,"Providers of investment banking, brokerage and investment management services without significant commercial or retail banking operations."
lvmh moet henn l vuitton se,,,,No Match,lvmh moet henn l vuitton,,,,No Match,FALSE,Textiles & Apparel,Cyclical Consumer Products,Consumer Cyclicals,France,France ,532020,"Manufacturers of fabrics, leather and other textiles, apparel, accessories and footwear."
mondelez intl hldgs nether bv,,,,No Match,mondelez intl hldgs nether,,,,No Match,FALSE,Food & Tobacco,Food & Beverages,Consumer Non-Cyclicals,Netherlands,Netherlands,541020,"Producers and processors of Food & Tobacco. Includes operators of farms, aquaculture and fisheries."
nederlandse gasunie nv,https://permid.org/1-4295884978,Nederlandse Gasunie NV,92.00%,Excellent,nederlandse gasunie,https://permid.org/1-4295884978,Nederlandse Gasunie NV,92.00%,Excellent,TRUE,Oil & Gas Related Equipment and Services,Energy - Fossil Fuels,Energy,Netherlands,Netherlands,501030,"Providers of oil and gas drilling and related services, as well as manufacturers of oil related equipment."
nv nederlandse gasunie,https://permid.org/1-4295884978,Nederlandse Gasunie NV,92.00%,Excellent,nv nederlandse gasunie,https://permid.org/1-4295884978,Nederlandse Gasunie NV,92.00%,Excellent,TRUE,Oil & Gas Related Equipment and Services,Energy - Fossil Fuels,Energy,Netherlands,Netherlands,501030,"Providers of oil and gas drilling and related services, as well as manufacturers of oil related equipment."
o2 telefonica dtld finanzier,,,,No Match,o2 telefonica dtld finanzier,,,,No Match,FALSE,Telecommunications Services,Telecommunications Services,Technology,Germany,Germany,514010,Owners and operators of fixed line and wireless telecommunication networks providing voice and data services.
red electrica financ sau,,,,No Match,red electrica financ,https://permid.org/1-4297190526,Red Electrica Finance Bv,62.00%,Good,FALSE,Electric Utilities & IPPs,Utilities,Utilities,Spain,Spain,591010,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators."
resa sa,,,,No Match,resa,,,,No Match,FALSE,Electric Utilities & IPPs,Utilities,Utilities,Belgium,Belgium,591010,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators."
richemont international holding sa,https://permid.org/1-5076925680,Richemont International Holding S.A.,92.00%,Excellent,richemont international holding,https://permid.org/1-5076925680,Richemont International Holding S.A.,75.00%,Good,TRUE,investment holding companies ,investment holding companies ,FIinancials,Luxembourg ,Luxembourg ,556010,"Companies primarily engaged in investing in securities/stakes of other companies and for their own profits. Investment Holding Companies might have both minority and majority stakes. Excludes companies investing in private equity firms, classified in Private Equity; companies investing in venture capital firms, classified in Venture Capital; companies operating through subsidiaries/majority-held entities in various economic segments, classified according to the dominant segment of activity or, in case of a significant size and lack of dominant segment, in Industrial Conglomerates; UK-type investment trusts, classified in UK Investment Trusts."
richemont intl holding sa,https://permid.org/1-5076925680,Richemont International Holding S.A.,92.00%,Excellent,richemont intl holding,https://permid.org/1-5076925680,Richemont International Holding S.A.,75.00%,Good,TRUE,investment holding companies ,investment holding companies ,FIinancials,Luxembourg ,Luxembourg ,556010,"Companies primarily engaged in investing in securities/stakes of other companies and for their own profits. Investment Holding Companies might have both minority and majority stakes. Excludes companies investing in private equity firms, classified in Private Equity; companies investing in venture capital firms, classified in Venture Capital; companies operating through subsidiaries/majority-held entities in various economic segments, classified according to the dominant segment of activity or, in case of a significant size and lack of dominant segment, in Industrial Conglomerates; UK-type investment trusts, classified in UK Investment Trusts."
robert bosch investnedldbv,,,,No Match,robert bosch investnedld,,,,No Match,FALSE,Professional & Commercial Services,Industrial & Commercial Services,Industrials,Netherlands,Netherlands,522030,"Providers of environmental, employment, business support, professional information, and commercial printing services and supplies."
rte edf transport,,,,No Match,rte edf transport,,,,No Match,FALSE,Multiline Utilities,Utilities,Utilities,France,France,591040,"Producers and distributors of electric power, natural gas and combined heat and power. Includes utility companies with multiple operations in the supply of electricity; natural gas; water and district heating and cooling services, and other utility operations. Includes also utility infrastructure operators."
sagess socandgeststdsec,,,,No Match,sagess,https://permid.org/1-4296654560,Gestion Securite de Stocks Securite SA,92.00%,Excellent,FALSE,,,,France,France,,
siemens finanmaatschappij nv,,,,No Match,siemens finanmaatschappij,,,,No Match,FALSE,Consumer Goods Conglomerates,Consumer Goods Conglomerates,Consumer Non-Cyclicals,Netherlands,Netherlands,544010,"Large organizations, engaged in multiple business lines within the consumer goods sectors, including non-cyclical consumer goods and cyclical consumer goods."
simon international finance,https://permid.org/1-5061333138,Simon International Finance GP SARL,11.00%,Possible,simon international finance,https://permid.org/1-5061333138,Simon International Finance GP SARL,11.00%,Possible,TRUE,Investment Holding Companies,Investment Holding Companies,Financials,Luxembourg,Luxembourg,556010,"Companies primarily engaged in investing in securities/stakes of other companies and for their own profits. Investment Holding Companies might have both minority and majority stakes. Excludes companies investing in private equity firms, classified in Private Equity; companies investing in venture capital firms, classified in Venture Capital; companies operating through subsidiaries/majority-held entities in various economic segments, classified according to the dominant segment of activity or, in case of a significant size and lack of dominant segment, in Industrial Conglomerates; UK-type investment trusts, classified in UK Investment Trusts."
six finance luxembourg sa,https://permid.org/1-5076357523,SIX Finance Luxembourg SA,92.00%,Excellent,six finance luxembourg,https://permid.org/1-5076357523,SIX Finance Luxembourg SA,74.00%,Good,TRUE,,,,Luxembourg,Luxembourg,,
snam spa,https://permid.org/1-4295875615,Snam SpA,92.00%,Excellent,snam,https://permid.org/1-4295875615,Snam SpA,92.00%,Excellent,TRUE,,,,Italy,Italy,,
sncf mobilites,,,,No Match,sncf mobilite,,,,No Match,FALSE,Passenger Transportation Services,Transportation,Industrials,France,France,524060,"Providers of transportation services to passengers via air, ground and sea."
societe anonyme de gestion des stocks de securite sagess,https://permid.org/1-4296258481,SA De Gestion De Stocks Securite Sagess,81.00%,Good,societe anonyme de gestion des stocks de securite sage,,,,No Match,FALSE,,,,France,France,,
societe des autoroutes du nord et de l est de la france sanef,https://permid.org/1-5057739178,Societe des Autoroutes du Nord et de l'Est de la France {SANEF},71.00%,Good,societe des autoroutes du nord et de l est de la france sanef,https://permid.org/1-5057739178,Societe des Autoroutes du Nord et de l'Est de la France {SANEF},71.00%,Good,TRUE,Transport Infrastructure,Transportation,Industrials,France,France,524070,"Owners and operators of highways, rail tracks, airports, and marine ports."
societe des autoroutes paris rhin rhone aprr,,,,No Match,societe des autoroutes paris rhin rhone aprr,,,,No Match,FALSE,Transport Infrastructure,Transportation,Industrials,France,France,524070,"Owners and operators of highways, rail tracks, airports, and marine ports."
spp infrastructure fing bv,,,,No Match,spp infrastructure fing,,,,No Match,FALSE,Multiline Utilities,Utilities,Utilities,Netherlands,Netherlands,591040,"Producers and distributors of electric power, natural gas and combined heat and power. Includes utility companies with multiple operations in the supply of electricity; natural gas; water and district heating and cooling services, and other utility operations. Includes also utility infrastructure operators."
total infrastructures gaz france,,,,No Match,total infrastructures gaz france,,,,No Match,FALSE,Oil & Gas Related Equipment and Services,Energy - Fossil Fuels,Energy,France,France,501030,"Providers of oil and gas drilling and related services, as well as manufacturers of oil related equipment."
traton finance luxemburg sa,https://permid.org/1-5079693909,Traton Finance Luxembourg SA,55.00%,Possible,traton finance luxemburg,https://permid.org/1-5079693909,Traton Finance Luxembourg SA,31.00%,Possible,TRUE,,,,Luxembourg,Luxembourg,,
vier gas transport gmbh,https://permid.org/1-5037635945,Vier Gas Transport GmbH,92.00%,Excellent,vier gas transport,https://permid.org/1-5037635945,Vier Gas Transport GmbH,92.00%,Excellent,TRUE,,,,Germany,Germany,,
