Name_1,OpenPermID_1,OrgName_1,Score_1,Level_1,Name_2,OpenPermID_2,OrgName_2,Score_2,Level_2,EqualOrgName,Primary Industry,Primary Bussiness,Primary Economic,Domiciled,Incorporated,TRBC code,Primary Industry description
el corte ingle sa,,,,No Match,el corte ingle,,,,No Match,FALSE,Diversified Retail,Retailers,Consumer Cyclicals,Spain,Spain,534020,"Retailers offering diversified product lines through department, discount and online or mail order stores."
elia system operator nv,,,,No Match,elia system operator,https://permid.org/1-4297577357,Elia,92.00%,Excellent,FALSE,Electric Utilities & IPPs,Utilities,Utilities,Belgium,Belgium,591010,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators."
elia system operator sanv,,,,No Match,elia system operator,https://permid.org/1-4297577357,Elia,92.00%,Excellent,FALSE,Electric Utilities & IPPs,Utilities,Utilities,Belgium,Belgium,591010,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators."
energie ag oberosterreich,https://permid.org/1-5000435851,Energie AG Oberoesterreich Umwelt Holding GmbH,12.00%,Possible,energie ag oberosterreich,https://permid.org/1-5000435851,Energie AG Oberoesterreich Umwelt Holding GmbH,12.00%,Possible,TRUE,Multiline Utilities,Utilities,Utilities,Austria,Austria,591040,"Producers and distributors of electric power, natural gas and combined heat and power. Includes utility companies with multiple operations in the supply of electricity; natural gas; water and district heating and cooling services, and other utility operations. Includes also utility infrastructure operators."
eon intl finance bv,,,,No Match,eon intl finance,,,,No Match,FALSE,Banking Services,Banking Services,Financials,Netherlands,Netherlands,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
eon se,,,,No Match,eon,,,,No Match,FALSE,Multiline Utilities,Utilities,Utilities,Germany,Germany,591040,"Producers and distributors of electric power, natural gas and combined heat and power. Includes utility companies with multiple operations in the supply of electricity; natural gas; water and district heating and cooling services, and other utility operations. Includes also utility infrastructure operators."
erdol lagergesellschaft mbh,https://permid.org/1-5079546902,Erdol-Lagergesellschaft mbH,92.00%,Excellent,erdol lagergesellschaft,https://permid.org/1-5079546902,Erdol-Lagergesellschaft mbH,73.00%,Good,TRUE,Oil & Gas Related Equipment and Services,Energy - Fossil Fuels,Energy,Austria,Austria,501030,"Providers of oil and gas drilling and related services, as well as manufacturers of oil related equipment."
fiat chrysler automobiles nv,https://permid.org/1-5048857469,Fiat Chrysler Automobiles NV,92.00%,Excellent,fiat chrysler automobile,,,,No Match,FALSE,Automobiles & Auto Parts,Automobiles & Auto Parts,Consumer Cyclicals,Italy,Netherlands,531010,"Manufacturers of automobiles, light trucks, motorcycles, as well as related vehicle parts, tires and primary rubber products."
fonciere des regions,https://permid.org/1-5035902891,Fonciere des Regions Developpement SAS,57.00%,Possible,fonciere des region,,,,No Match,FALSE,Residential & Commercial REITs,Real Estate,Real Estate,France,France,601020,Investment trusts that secure interests related to rights on residential and commercial real estate.
fonciere des regions sa,https://permid.org/1-5061332739,Fonciere des Regions SA,92.00%,Excellent,fonciere des regions,https://permid.org/1-5035902891,Fonciere des Regions Developpement SAS,57.00%,Possible,FALSE,Residential & Commercial REITs,Real Estate,Real Estate,France,France,601020,Investment trusts that secure interests related to rights on residential and commercial real estate.
fresenius finance ireland plc,https://permid.org/1-5059049446,Fresenius Finance Ireland II PLC,78.00%,Good,fresenius finance ireland,https://permid.org/1-5059049446,Fresenius Finance Ireland II PLC,37.00%,Possible,TRUE,Healthcare Providers & Services,Healthcare Providers & Services,Healthcare ,Ireland,Ireland,561020,"Fresenius Medical Care AG & Co. KGaA provides dialysis care and related dialysis care services in Germany, North America, and internationally. It offers dialysis treatment and related laboratory and diagnostic services through a network of outpatient dialysis clinics; materials, training, and patient support services comprising clinical monitoring, follow-up assistance, and arranging for delivery of the supplies to the patient's residence; and dialysis services under contract to hospitals in the United States for the hospitalized end-stage renal disease (ESRD) patients and for patients suffering from acute kidney failure. The company also develops, manufactures, and distributes dialysis products, including polysulfone dialyzers, hemodialysis machines, peritoneal dialysis cyclers, peritoneal dialysis solutions, hemodialysis concentrates, solutions and granulates, bloodlines, renal pharmaceuticals, and systems for water treatment; and non-dialysis products, such as acute cardiopulmonary and apheresis products. In addition, it develops, acquires, and in-licenses renal pharmaceuticals; offers renal medications and supplies to patients at homes or to dialysis clinics; and provides vascular, cardiovascular, endovascular specialty, vascular care ambulatory surgery center, and physician nephrology and cardiology services. The company sells its products to dialysis clinics, hospitals, and specialized treatment clinics directly, as well as through local sales forces, independent distributors, dealers, and sales agents. As of December 31, 2020, it operated 4,092 outpatient dialysis clinics in approximately 150 countries. Fresenius Medical Care AG & Co. KGaA was incorporated in 1996 and is headquartered in Bad Homburg, Germany."
gas natural cm sa,,,,No Match,gas natural cm,,,,No Match,FALSE,Natural Gas Utilities,Utilities,Utilities,Spain,Spain,591020,"Naturgy Energy Group, S.A., together with its subsidiaries, engages in the supply, liquefaction, regasification, transport, storage, distribution, and sale of natural gas in Spain and internationally. The company operates through Energy and Network Management, Renewables and New Business, and Marketing segments. The Energy and Network Management segment engages in the regulated gas and electricity distribution business in Spain; distribution of gas and electricity in Argentina; distributes gas in Brazil and Mexico; and distribution of electricity in Panama. This segment is also involved in the sale of liquefied natural gas and the sea transport business; providing supply management and sales services for customers, as well as the UniÃ³n Fenosa Gas and other gas infrastructures activities; management of the Maghreb Â– Europe and Medgaz gas pipelines; and generation of thermal electricity in Spain and Latin America. The Renewables and New Business segment engages in the generation and sale of electricity through wind, mini-hydro, solar, and cogeneration in Spain; and generation and sale of electricity in Latin America and Australia. The Marketing segment engages in managing gas, electricity, and services for end customers. The company was formerly known as Gas Natural SDG, S.A. and changed its name to Naturgy Energy Group, S.A. in June 2018. Naturgy Energy Group, S.A. was incorporated in 1843 and is based in Madrid, Spain."
gie engie alliance,,,,No Match,gie engie alliance,,,,No Match,FALSE,Banking Services,Banking and Investment Services ,Financials,France ,France ,551010,"ENGIE’s purpose (“raison d’être”) is to act to accelerate the transition towards a carbon-neutral economy, through reduced energy consumption and more environmentally-friendly solutions. The purpose brings together the company, its employees, its clients and its shareholders, and reconciles economic performance with a positive impact on people and the planet. ENGIE’s actions are assessed in their entirety and over time."
